,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
remember,11.0,3.0,3.0,8.0,2.0,7.0,11.0,7.0,2.0,4.0,1.0,,,8.0,1.0,1.0,7.0,1.0,,2.0,,6.0,2.0,2.0,,1.0,,3.0,6.0,,2.0,1.0,,,,,,102.0
just-a,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
what,21.0,26.0,48.0,33.0,107.0,74.0,79.0,131.0,56.0,34.0,42.0,,47.0,8.0,22.0,40.0,33.0,2.0,14.0,44.0,14.0,8.0,30.0,8.0,19.0,6.0,,69.0,16.0,,24.0,6.0,21.0,,5.0,17.0,13.0,1117.0
said,12.0,14.0,10.0,7.0,41.0,24.0,11.0,33.0,1.0,10.0,18.0,22.0,6.0,,5.0,6.0,6.0,2.0,,3.0,,,7.0,,10.0,2.0,1.0,3.0,,,6.0,1.0,,1.0,1.0,3.0,18.0,284.0
darling,15.0,7.0,,,,1.0,6.0,,,,,,3.0,8.0,,,,,,,,,,8.0,,,,,,,,,,5.0,5.0,,,58.0
love,51.0,61.0,79.0,75.0,133.0,142.0,153.0,162.0,47.0,57.0,,14.0,135.0,47.0,36.0,211.0,17.0,7.0,182.0,61.0,182.0,48.0,13.0,,41.0,56.0,22.0,29.0,15.0,8.0,4.0,18.0,8.0,272.0,102.0,88.0,5.0,2581.0
know,31.0,36.0,76.0,61.0,164.0,133.0,177.0,177.0,59.0,35.0,46.0,,75.0,65.0,34.0,44.0,22.0,6.0,21.0,50.0,21.0,3.0,78.0,,31.0,29.0,2.0,22.0,10.0,,29.0,13.0,8.0,21.0,15.0,39.0,13.0,1646.0
lied,14.0,,1.0,,,8.0,,,,,,,,2.0,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,28.0
liedwhoa,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
on,35.0,77.0,105.0,109.0,158.0,240.0,228.0,244.0,96.0,88.0,307.0,,81.0,46.0,46.0,98.0,24.0,40.0,281.0,85.0,281.0,1.0,34.0,70.0,24.0,38.0,18.0,102.0,25.0,44.0,55.0,20.0,24.0,8.0,82.0,48.0,112.0,3374.0
our,3.0,3.0,11.0,15.0,15.0,16.0,14.0,13.0,6.0,6.0,24.0,,28.0,,5.0,8.0,1.0,3.0,7.0,2.0,7.0,,,,,28.0,29.0,,5.0,4.0,,2.0,14.0,2.0,8.0,16.0,,295.0
first,2.0,5.0,2.0,4.0,8.0,19.0,13.0,10.0,3.0,2.0,4.0,,12.0,,,,,,7.0,11.0,7.0,7.0,,,,,1.0,1.0,2.0,,6.0,,12.0,,,,,138.0
date,1.0,,,,4.0,,1.0,6.0,,,3.0,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,29.0
kissed,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
and,117.0,198.0,395.0,236.0,422.0,426.0,341.0,343.0,128.0,142.0,315.0,22.0,229.0,152.0,164.0,149.0,110.0,36.0,301.0,228.0,301.0,31.0,250.0,61.0,80.0,67.0,75.0,385.0,99.0,58.0,73.0,117.0,248.0,130.0,310.0,169.0,154.0,7062.0
walked,1.0,1.0,1.0,,5.0,3.0,8.0,1.0,,,1.0,,,,,1.0,,,,2.0,,,3.0,,,,,,,,,2.0,,,,,,29.0
were,9.0,6.0,22.0,15.0,23.0,2.0,68.0,3.0,1.0,1.0,3.0,,21.0,,,6.0,6.0,,21.0,2.0,21.0,9.0,8.0,,,8.0,,,3.0,,6.0,5.0,6.0,,5.0,,3.0,283.0
