,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
can?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
stilettos,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
circles,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,1.0,,,,,,,10.0
oh​,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sofa,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
cola,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
clock,,,,,,,6.0,,,1.0,,,2.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,12.0
ticking,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
admit,,,,,,,2.0,1.0,4.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,9.0
remedy,,,,,,,1.0,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,11.0
lea,,,,,,,1.0,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,11.0
target,,,,,,,2.0,1.0,,1.0,,,,,,,,1.0,,,,9.0,,,,,,,,,1.0,,,,1.0,,,16.0
lawn,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,8.0
text,,,,,,,1.0,3.0,,,,,,,,4.0,,,,,,,,,,,,19.0,,,,,,,,,,27.0
someones,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ex,,,,,,,2.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0
reruns,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
betty,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
whites,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0
bathroom,,,,,,,3.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
stall,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
shoesclotheseverything,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
byob,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
yup,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
momcall,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sayonara,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
hasta,,,,,,,4.0,3.0,6.0,2.0,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,19.0
vista,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
outta,,,,,,,2.0,1.0,,,2.0,,5.0,,,5.0,,,,,,,1.0,3.0,,,1.0,,,,,,,,,,3.0,23.0
whooooa,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
whooooaaa,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
gota,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
whoaaaa,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
leeeeave,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
heeaaart,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
aye,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
quavo,,,,,,,9.0,1.0,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,15.0
huncho,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
liam,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
payne,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
keeping,,,,,,,1.0,1.0,,9.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,12.0
well?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1d,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
rowdy,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
coke,,,,,,,2.0,6.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0
bacardi,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
lightly,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
f1,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ferrari,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
gear,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,3.0
grinds,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ed,,,,,,,2.0,,,,,,,,,,,,6.0,,6.0,,2.0,,,,,,,,,,,,10.0,,,26.0
sheeran,,,,,,,2.0,,,,,,,,,,,,6.0,,6.0,,,,,,,,,,,,,,4.0,,,18.0
opened,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0
shots,,,,,,,3.0,7.0,1.0,1.0,,,,,,,,,7.0,,7.0,,,,,,,4.0,1.0,,,,,,,,,31.0
seal,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,,,,1.0,,,,,,,9.0
mebaby,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
hmm,,,,,,,21.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,27.0
hardly,,,,,,,3.0,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,1.0,2.0,,,,,,11.0
reply,,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
babe?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,3.0
dangerously,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,23.0
marvin,,,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,5.0
gaye,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
ft.,,,,,,,9.0,4.0,8.0,5.0,,,,,,9.0,,,,,,,,,,,,77.0,,,6.0,,,,1.0,,,119.0
meghan,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
trainor,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
selena,,,,,,,2.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0
gomez,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
suffer,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,2.0,,11.0
shy,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
carter,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,9.0,,,13.0
diana,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,9.0,9.0,,,38.0
happily,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0
deluxe,,,,,,,8.0,,1.0,2.0,,,1.0,,14.0,12.0,,2.0,7.0,,7.0,,,2.0,10.0,,,,,,8.0,,,,11.0,,,85.0
"""best",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"ever""",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"""story",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"life""",,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,6.0
"""midnight",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"memories""",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"i""",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
lion,,,,,,,2.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0
cotton,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0
iron,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,5.0
mixtape,,,,,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
repeating,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
september,,,,,,,11.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,19.0
fifteen,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
strangest,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
danger,,,,,,,4.0,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,9.0
gone?,,,,,,,1.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,6.0
taggart,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0
issue,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
broke-down,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
i-i-i,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,23.0
backseat,,,,,,,4.0,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,4.0,,,,,,,22.0
rover,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
mattress,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
roommate,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
boulder,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
halsey,,,,,,,6.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,15.0
blink-182,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tucson,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
permission,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
limits,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
finished,,,,,,,3.0,3.0,,,,,,,,,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,10.0
focused,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,7.0
bulletproof,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,6.0
introducing,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
savor,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,5.0
taker,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
giver,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
nature,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0
pressure,,,,,,,1.0,,4.0,2.0,,,,2.0,,12.0,,,,,,,,,,,,8.0,,,4.0,,,,,,,33.0
travis,,,,,,,1.0,,1.0,1.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,11.0
scott,,,,,,,1.0,,1.0,1.0,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,9.0,,20.0,41.0
ü,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10.0
skrillex,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10.0
diplo,,,,,,,1.0,,1.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,15.0,,,30.0
tracks,,,,,,,3.0,3.0,4.0,,12.0,,,,,28.0,,,,,,,,,,2.0,,,,,2.0,,,,,,,54.0
nas,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,5.0,,,,,,,,,,,,,15.0
itunes,,,,,,,1.0,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,16.0
pre-order,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10.0
ariana,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,11.0
grande,,,,,,,1.0,,1.0,3.0,,,,,,8.0,,,,,,,,,,,,,,,,,,,2.0,,,15.0
japanese,,,,,,,2.0,,1.0,,,,,,7.0,12.0,,,,,,,,,,,,,,,,,,,1.0,,,23.0
bigger,,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,1.0,,,1.0,,2.0,,,,,14.0
"*""hit",,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10.0
"ground""",,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,1.0,,,,,,11.0
"most""",,,,,,,1.0,,1.0,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,10.0
walmart,,,,,,,1.0,,1.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,14.0
begin?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
feeling's,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
overwhelming,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
call?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,2.0
artwork,,,,,,,4.0,,,,12.0,,,,,,,,7.0,,7.0,,,,,,,,,,1.0,,,,,,,31.0
standard,,,,,,,2.0,,,1.0,,,,,7.0,,,,7.0,,7.0,,,,5.0,,,,,,1.0,,,,,,,30.0
nina,,,,,,,2.0,,,,,,,15.0,,,,,7.0,,7.0,,,,6.0,,,,,,,,,,,,,37.0
bloodstream,,,,,,,2.0,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,16.0
tenerife,,,,,,,2.0,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,16.0
afire,,,,,,,2.0,,,,,,,,,,,,7.0,,7.0,,,,,,8.0,,,,,,,,,,,24.0
shirtsleeves,,,,,,,2.0,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,16.0
bieber,,,,,,,21.0,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,111.0
souls,,,,,,,3.0,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,3.0,,,11.0
intertwine,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,6.0
cupid,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
bebe,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
rexha,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
warned,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fire's,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
in?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0
first?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
blind?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sky?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
heights?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
depths,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0
paris,,,,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
“wow,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
out”,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0
terrace,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0
“how,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
wasted,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
else?”,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
emily,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
warren,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
clever,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0
frown,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
posting,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
cuttin',,,,,,,1.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,7.0
luke,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
youngblood,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
shell,,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
niall,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
harry​,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
​nobody,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
down​,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
​liam​,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
​all,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
reminds,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
realised,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
overseas,,,,,,,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,5.0
reckless,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,4.0
mindd,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
pillowtalk,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
befour,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
intermission,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
kehlani,,,,,,,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
bordersz,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
lucozade,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tio,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tracks15.,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
exclusive,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,2.0,,2.0,12.0
tracks19.,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
tracks21.,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
session,,,,,,,1.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,16.0
"""pillowtalk""",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"art""like",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"would""",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
"art""befour""",,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
handmade,,,,,,,2.0,,,,,,,,,,,,14.0,,14.0,,,,,,,,,,,,,,,,,30.0
magnet,,,,,,,3.0,,,1.0,,,,,,,,,21.0,,21.0,,,,,,,,,,,,,,,,,46.0
discovering,,,,,,,6.0,,,,,,,,,,,,42.0,,42.0,,,,,,,,,,,,,,,,,90.0
oh—i—oh—i—oh—i—oh—i,,,,,,,6.0,,,,,,,,,,,,42.0,,42.0,,,,,,,,,,,,,,,,,90.0
thrifty,,,,,,,1.0,,,,,,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,15.0
plate,,,,,,,1.0,3.0,,,,,,,,,,1.0,7.0,,7.0,,,,,,,,,,,,,,,,,19.0
hi,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
papercut,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
chronicles,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
retirement,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
conglomeration,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
neuron-transmutation,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
dense,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
immortal,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
die?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
one's,,,,,,,4.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,,,10.0
state,,,,,,,2.0,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,,,,1.0,,28.0,,3.0,,,38.0
pennsyltucky,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
state?,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1985,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0
selenophobic,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sparkle,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0
inanimate,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
sparrow,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
amidst,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
iridescent,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
marsupial,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fetus,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
bellows,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
melodic,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
menagerie,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
fleeting,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
slothfulness,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
invisible,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0
cocoon,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
prison,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,7.0
callous,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
conscious,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0
germinating,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
harmonies,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
forgotten,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0
"""maps""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0
"""animals""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""it",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""unkiss",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""sugar""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""leaving",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"california""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"pocket""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""new",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""coming",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"""feelings""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
"open""",,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
liked,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
apologies,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
whispers,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
notch,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
belt,,,,,,,1.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,5.0
saddest,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,6.0
creeping,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0
speechless,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
lone,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
ranger,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
angels,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,3.0,,,2.0,,1.0,,,4.0,,,,15.0
astronauts,,,,,,,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
