Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
dms,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
wildfire,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
hotter,,,,1,,,,,,,,,,,,3,,,,,,,,,,5,,,,,,,,,,,,9
daddy's,,,,1,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,7
sky's,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tho',,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
respectable,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
photographs,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
towns,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
you.....,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
memorabilia....memorabilia,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
memorabilia,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
reminder...,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
softest,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
erotic,,,,1,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,5
attic,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
materialise,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
chocolate,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,5
box,,,,1,,,,,,,,,,,,,3,,,,,,4,,,5,6,,,,1,,,,,,,20
why's,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
brighten,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2
coz,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
5x,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
percussion.....,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
memorabilia...memorabilia,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
stretching,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
mountaintop,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
fleece,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
scarlet,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
stepping,,,,1,,,,,,,,,,,,,,,,,,,,7,,1,,,,,,,,,,,,9
fall.......,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
tangled,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
switchblade,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cries,,,,1,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,10
haunted,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
enslaves,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
screen,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,6
darkened,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
novel,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
expressions,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
portrait,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
discussing,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
form,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
drinks,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
noone,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
dirtier,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
saves,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
obscener,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
not?,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
sandpit,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
praising,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
leaders,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
sooner,,,,1,,,,,,,,,,,,,,,,,,,27,,,,,8,,,,2,,,,,,38
perish,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
youth's,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
swinging,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,3
out-of-work,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
musician,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
saxophone,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
teacher,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
stranded,,,,1,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,5
using,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
smaller,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
pulls,,,,1,,,,,,,3,,,,,,,,,,,,,,1,,,,,,,,,,,,,5
blinds,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
loneliest,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gyrate,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
pneumatic,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
wagontrain!,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
out-of-body,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
experience,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
wooooo!,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
earthquake,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4
tidal,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,5
wave!,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
cruising,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
ionosphere,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
faux,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
git,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
yeh!,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
thing!,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
goodnight,,,86,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,7,,,,94
jolene,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
moonlight,,1,22,,,,,,1,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,30
levee,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,17
"""this’ll",,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
hare,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
sealed,,12,12,,,,,,,,,,,,,,,,,,,,,,,24,,,,,1,,,,,,,49
delivered,,12,12,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,48
troubled,,12,12,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,28
wonderful,,1,12,,,,,,,,,,4,,,,,,,,,,,,,,,,39,,,1,,,,1,,58
endless,,,12,,,,,,,,,,,,24,,,,,,,,,,,,1,,,,,,,,,,,37
krishna,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
whiskey,,,10,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,18
delight,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
sailing,1,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
i'm-a,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
growing,,1,8,,,,,,,10,,,,,,,,,,2,,,,,,,,,,,,,,,,,,21
bird,7,,7,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,1,,,,,,18
pie,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
chevy,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
'n,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
rye,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
miracles,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,9
yours!,,6,6,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,24
"die.""",,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
moondance,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
lovey-dovey,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
sultans,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
delight!,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
zuma,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
strumming,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
james,,,5,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,5,,,,30,,,43
"""brandy",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
brandy,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
canyon,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
join,,,5,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,10
you’ve,,,5,,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,10
creole,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5
madman,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
bye-bye,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
`cause,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
fuse,,,4,,,,,,,1,,,,,,,,,3,,3,,,,,,,,,,,,,,,,1,12
an',,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7
farm,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
pours,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
dreamer,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
idealistic,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
picker,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
grinner,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
sinner,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,8
joker,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
smoker,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
toker,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
tramps,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
rainy,,,4,,,,,,,1,,,,,,3,,,1,,1,,,,,,,,,,,,,,,,,10
gloomy,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,6
moods,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
combination,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
rejoice,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
gurur,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
jewelry,,,4,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,10
monterey,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
virginia,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
jack,,1,3,,,,,,1,,,,2,,,,,,,,,,,,,,,,,4,,1,,,15,,1,28
salty,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
smallest,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
wing,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,5
bind,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
shiver,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
jester,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
forward,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3,,,7
reversed,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4
mirrors,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4
flyin',,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
worldly,,,3,,,,,,,1,,,,,5,,,,,,,,,,,,,,,,,,,,,,,9
chimes,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
marking,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
roundabout,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
sails,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
mostly,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
aint,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
unwrite,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
precedented,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
unique,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
indiana,,,3,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,12
jane,,,3,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,12
creepin',,,3,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,12
rama,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
swallows,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
girl's,1,2,2,,,,,,,,,,,,,2,,,,4,,,,,,1,,,,,,,4,,,,,16
prayed,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
bringing,,2,2,,,,,,,1,,,,1,,,,,,,,2,,,,,2,,,,,,,,,,,10
french,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
peaches,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4
a-flowin',,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
borrowed,,,2,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,7
prayers,,,2,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,6
reef,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
thursday,,,2,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
in-laws,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
glimpse,,,2,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,4
truck,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
screamed,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
promised,,,2,,,,,,,,,,,,1,,,,,2,,,,7,,,,,,,,,,,,,3,15
supernatural,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
bark,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3
a-staying,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
morse,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
code,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,,,,,,8
serves,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
sailors,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
harbor,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
sailor,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,7
"sea""",,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
wears,,,2,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,5
"is""",,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
rises,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
greens,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
highway,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,62
filigree,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
vine,,,2,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,6
annie,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,9
estrella,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
bevelled,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gathers,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
fleetwood,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
supper's,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
defenses,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
messing',,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
filling',,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
looking',,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
shaking',,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
rang,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3
southern,,,2,,,,,,1,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,13
ya?,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
marvelous,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
fantabulous,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
’neath,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
breezes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
heart-strings,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
night’s,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
blush,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
countries,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,3
religion,,,2,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,5
greed,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
hunger,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,4
brotherhood,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
sharing,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,5
horns,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,15
petty,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
thing?,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
badly,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
ought,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
turnin',,,2,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,4
meanwhile,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3
ooooh,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9
tonight...,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
constitution's,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
a's,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
bold,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
whooo,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
cutest,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
rubbin',,,2,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5
ignite,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
exciting,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
skyrockets,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
flight!,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
schoolbag,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
waving,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
absent-minded,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
seek,,,2,,,,,,,,,,,,3,,,,1,,1,,,,,,,,,,,2,,,,,,9
conceived,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
sacrificed,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
attacks,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,7
lethal,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
dose,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
cartier,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
italian,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3
english,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
prissy,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
receiver,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,4
gentle,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
tease,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
silky,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3
sleeves,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
wood,,7,1,,,,,,1,,12,,,,,,3,,,,,,,,,,,,,,,,,,,,,24
pins,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
darlin',1,4,1,,,,,,,,,,,48,,,,,,1,,,,,,,,,,,,,,15,,,,70
stayed,,3,1,,,,,,,1,,,,,,,,,,,,,,,1,2,,,,,1,,,,,,,9
ships,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4
neon,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,3,,,10
spring,,2,1,,,,,,,,,,,8,,,,,,,,,,,,,,1,,,,12,,,,,,24
sleepy,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7
"""we",,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,3
slipped,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,7
ashamed,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4
whoa-oh,,1,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,4
finger,,1,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,3,,,,8
so?,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
mourn,,1,1,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,10
believed,,1,1,,,,,,,,,,,,,2,,,,4,,,,,,,,,,,,,,,,,,8
shoulders,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
sort,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
uptight,,1,1,,,,,,,,,,,,,,,,,6,,,,,,9,,,,,,,,,,,,17
sigh,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
walks,2,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4
beaches,1,,1,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,5
bait,1,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4
awful,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,5
flee,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
shuttered,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
begged,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
yeah?,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2
dues,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4
whoo,,,1,,,,,,5,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,13
characters,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
z,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
explore,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2
needing,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
pint,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
bore,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2
sun-shining,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
reeling,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
stealing,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2
