Column1,All Out 50s,All Out 60s,All Out 70s,All Out 80s,All Out 90s,All Out 00s,All Out 10s,US Top 50,Top_Male_Artists_of_2018,Top_Female_Artists_of_2018,Eminem,Beatles,Prince,Nina Simone,Lady Gaga,Justin Bieber,John Mayer,Depeche Mode,Ed Sheeran,Aretha Franklin,Ed Sheeran2,Adele,Tom Petty,Metallica,Madonna,Stevie Wonder,Earth Wind And Fire,Drake,Elton John,Radiohead,Kendrick_Lamar,Frank_Sinatra,Red Hot Chili Peppers,Michael Buble,Beyonce,John Legend,ACDC,All Playlists
or,2,3,24,35,37,22,7,52,10,9,8,,37,5,10,8,6,1,,7,,2,33,7,,9,1,20,5,,13,9,4,10,1,1,17,415
uh,,,,,5,17,23,51,20,3,1,,,,1,4,,,1,1,1,,,,,,2,1,,,2,,,,10,,,143
oh,24,39,50,52,56,236,150,50,45,152,6,,91,68,8,27,12,,25,100,25,14,24,,2,12,4,6,22,6,2,4,,30,10,116,8,1476
take,1,14,37,32,64,70,60,50,22,36,34,,23,1,23,32,27,14,14,15,14,7,5,,29,2,6,65,13,,5,2,56,3,7,86,22,891
have,14,26,17,52,82,41,43,49,13,9,25,,29,9,3,6,25,10,2,12,2,10,69,4,12,27,,19,17,18,3,6,46,10,9,28,3,750
why,7,6,17,6,17,22,31,49,26,27,34,,39,31,9,2,21,,,7,,15,2,,4,3,4,1,2,,2,5,1,,1,1,15,407
he,10,27,46,25,47,29,19,49,35,6,16,,16,7,,1,18,6,,12,,5,34,6,1,,15,3,,1,4,5,2,10,11,2,6,474
more,3,11,22,15,33,24,36,48,10,18,13,,33,10,1,8,3,3,10,1,10,,16,22,4,2,2,88,5,,8,13,4,10,12,41,,539
2,4,19,29,28,36,57,53,47,32,30,18,7,57,6,32,28,33,16,14,26,14,4,18,31,9,16,2,27,17,26,9,1,33,5,21,22,39,866
then,7,8,28,7,31,25,36,47,19,24,6,7,,,,11,7,1,63,29,63,2,16,5,,6,1,2,2,1,15,3,,,,26,,498
who,6,27,9,29,34,26,10,47,3,5,27,,8,3,1,10,4,3,14,6,14,,16,3,,6,1,33,3,6,10,1,6,10,6,32,81,500
how,18,15,33,7,64,66,42,46,22,14,21,,6,8,27,15,18,6,15,23,15,3,4,17,4,8,1,36,3,1,19,4,7,,10,15,3,616
1,7,17,29,24,38,55,57,44,22,30,17,14,56,6,33,19,36,16,18,37,18,6,18,31,9,16,7,26,17,18,7,2,40,5,21,22,40,878
make,16,16,34,16,66,68,22,44,19,51,15,,19,33,20,24,5,6,7,14,7,9,,7,,12,6,34,3,,15,12,7,5,37,7,6,662
you're,10,26,35,50,104,76,71,43,29,15,41,,37,47,22,26,19,14,22,56,22,18,6,7,13,11,3,25,8,3,1,7,11,46,8,6,16,954
these,2,3,9,5,10,14,11,43,8,9,10,,1,18,21,5,18,,,7,,,,6,,,,22,3,6,10,,4,10,6,,,261
